video_name,action_idx,category,frames,resize,source_video,split,action,error
01_0001_v_-hyYa8ijq-8_c001.mp4,1,aerobic_gymnastics,31,False,v_-hyYa8ijq-8_c001.mp4,train,explosive push up,False
01_0002_v_-hyYa8ijq-8_c001.mp4,1,aerobic_gymnastics,31,True,v_-hyYa8ijq-8_c001.mp4,train,explosive push up,False
01_0003_v_-hyYa8ijq-8_c001.mp4,1,aerobic_gymnastics,32,False,v_-hyYa8ijq-8_c001.mp4,train,explosive push up,False
05_0001_v_-hyYa8ijq-8_c001.mp4,5,aerobic_gymnastics,89,False,v_-hyYa8ijq-8_c001.mp4,train,support,False
05_0002_v_-hyYa8ijq-8_c001.mp4,5,aerobic_gymnastics,87,False,v_-hyYa8ijq-8_c001.mp4,train,support,False
05_0003_v_-hyYa8ijq-8_c001.mp4,5,aerobic_gymnastics,88,False,v_-hyYa8ijq-8_c001.mp4,train,support,False
12_0001_v_-hyYa8ijq-8_c001.mp4,12,aerobic_gymnastics,28,True,v_-hyYa8ijq-8_c001.mp4,train,straddle jump,False
12_0002_v_-hyYa8ijq-8_c001.mp4,12,aerobic_gymnastics,28,True,v_-hyYa8ijq-8_c001.mp4,train,straddle jump,False
12_0003_v_-hyYa8ijq-8_c001.mp4,12,aerobic_gymnastics,30,True,v_-hyYa8ijq-8_c001.mp4,train,straddle jump,False
10_0001_v_-hyYa8ijq-8_c002.mp4,10,aerobic_gymnastics,24,True,v_-hyYa8ijq-8_c002.mp4,train,bent leg(s) jump,False
10_0002_v_-hyYa8ijq-8_c002.mp4,10,aerobic_gymnastics,24,True,v_-hyYa8ijq-8_c002.mp4,train,bent leg(s) jump,False
10_0003_v_-hyYa8ijq-8_c002.mp4,10,aerobic_gymnastics,24,True,v_-hyYa8ijq-8_c002.mp4,train,bent leg(s) jump,False
13_0001_v_-hyYa8ijq-8_c002.mp4,13,aerobic_gymnastics,23,True,v_-hyYa8ijq-8_c002.mp4,train,split jump,False
13_0002_v_-hyYa8ijq-8_c002.mp4,13,aerobic_gymnastics,23,True,v_-hyYa8ijq-8_c002.mp4,train,split jump,False
13_0003_v_-hyYa8ijq-8_c002.mp4,13,aerobic_gymnastics,23,True,v_-hyYa8ijq-8_c002.mp4,train,split jump,False
14_0001_v_-hyYa8ijq-8_c002.mp4,14,aerobic_gymnastics,22,True,v_-hyYa8ijq-8_c002.mp4,train,scissors leap,False
14_0002_v_-hyYa8ijq-8_c002.mp4,14,aerobic_gymnastics,26,True,v_-hyYa8ijq-8_c002.mp4,train,scissors leap,False
14_0003_v_-hyYa8ijq-8_c002.mp4,14,aerobic_gymnastics,28,True,v_-hyYa8ijq-8_c002.mp4,train,scissors leap,False
11_0001_v_-hyYa8ijq-8_c003.mp4,11,aerobic_gymnastics,29,True,v_-hyYa8ijq-8_c003.mp4,train,pike jump,False
11_0002_v_-hyYa8ijq-8_c003.mp4,11,aerobic_gymnastics,29,True,v_-hyYa8ijq-8_c003.mp4,train,pike jump,False
11_0003_v_-hyYa8ijq-8_c003.mp4,11,aerobic_gymnastics,29,True,v_-hyYa8ijq-8_c003.mp4,train,pike jump,False
19_0001_v_-hyYa8ijq-8_c003.mp4,19,aerobic_gymnastics,40,True,v_-hyYa8ijq-8_c003.mp4,train,turn,False
19_0002_v_-hyYa8ijq-8_c003.mp4,19,aerobic_gymnastics,39,True,v_-hyYa8ijq-8_c003.mp4,train,turn,False
19_0003_v_-hyYa8ijq-8_c003.mp4,19,aerobic_gymnastics,44,True,v_-hyYa8ijq-8_c003.mp4,train,turn,False
09_0001_v_-hyYa8ijq-8_c003.mp4,9,aerobic_gymnastics,50,True,v_-hyYa8ijq-8_c003.mp4,train,illusion,False
09_0002_v_-hyYa8ijq-8_c003.mp4,9,aerobic_gymnastics,52,True,v_-hyYa8ijq-8_c003.mp4,train,illusion,False
09_0003_v_-hyYa8ijq-8_c003.mp4,9,aerobic_gymnastics,49,True,v_-hyYa8ijq-8_c003.mp4,train,illusion,False
01_0001_v_4RKB-3ER_GA_c001.mp4,1,aerobic_gymnastics,31,True,v_4RKB-3ER_GA_c001.mp4,test,explosive push up,False
01_0002_v_4RKB-3ER_GA_c001.mp4,1,aerobic_gymnastics,31,True,v_4RKB-3ER_GA_c001.mp4,test,explosive push up,False
10_0001_v_4RKB-3ER_GA_c001.mp4,10,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c001.mp4,test,bent leg(s) jump,False
10_0002_v_4RKB-3ER_GA_c001.mp4,10,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c001.mp4,test,bent leg(s) jump,False
11_0001_v_4RKB-3ER_GA_c001.mp4,11,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c001.mp4,test,pike jump,False
11_0002_v_4RKB-3ER_GA_c001.mp4,11,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c001.mp4,test,pike jump,False
02_0001_v_4RKB-3ER_GA_c002.mp4,2,aerobic_gymnastics,21,True,v_4RKB-3ER_GA_c002.mp4,test,explosive support,False
02_0002_v_4RKB-3ER_GA_c002.mp4,2,aerobic_gymnastics,21,True,v_4RKB-3ER_GA_c002.mp4,test,explosive support,False
14_0001_v_4RKB-3ER_GA_c002.mp4,14,aerobic_gymnastics,15,True,v_4RKB-3ER_GA_c002.mp4,test,scissors leap,False
14_0002_v_4RKB-3ER_GA_c002.mp4,14,aerobic_gymnastics,28,True,v_4RKB-3ER_GA_c002.mp4,test,scissors leap,False
19_0001_v_4RKB-3ER_GA_c002.mp4,19,aerobic_gymnastics,67,True,v_4RKB-3ER_GA_c002.mp4,test,turn,False
19_0002_v_4RKB-3ER_GA_c002.mp4,19,aerobic_gymnastics,67,True,v_4RKB-3ER_GA_c002.mp4,test,turn,False
12_0001_v_4RKB-3ER_GA_c003.mp4,12,aerobic_gymnastics,26,True,v_4RKB-3ER_GA_c003.mp4,test,straddle jump,False
12_0002_v_4RKB-3ER_GA_c003.mp4,12,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c003.mp4,test,straddle jump,False
12_0003_v_4RKB-3ER_GA_c003.mp4,12,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c003.mp4,test,straddle jump,False
12_0004_v_4RKB-3ER_GA_c003.mp4,12,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c003.mp4,test,straddle jump,False
09_0001_v_4RKB-3ER_GA_c003.mp4,9,aerobic_gymnastics,60,True,v_4RKB-3ER_GA_c003.mp4,test,illusion,False
09_0002_v_4RKB-3ER_GA_c003.mp4,9,aerobic_gymnastics,63,True,v_4RKB-3ER_GA_c003.mp4,test,illusion,False
02_0001_v_4RKB-3ER_GA_c004.mp4,2,aerobic_gymnastics,24,True,v_4RKB-3ER_GA_c004.mp4,test,explosive support,False
02_0002_v_4RKB-3ER_GA_c004.mp4,2,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c004.mp4,test,explosive support,False
19_0001_v_4RKB-3ER_GA_c004.mp4,19,aerobic_gymnastics,50,True,v_4RKB-3ER_GA_c004.mp4,test,turn,False
19_0002_v_4RKB-3ER_GA_c004.mp4,19,aerobic_gymnastics,50,True,v_4RKB-3ER_GA_c004.mp4,test,turn,False
01_0001_v_4RKB-3ER_GA_c005.mp4,1,aerobic_gymnastics,33,True,v_4RKB-3ER_GA_c005.mp4,test,explosive push up,False
01_0002_v_4RKB-3ER_GA_c005.mp4,1,aerobic_gymnastics,33,True,v_4RKB-3ER_GA_c005.mp4,test,explosive push up,False
10_0001_v_4RKB-3ER_GA_c005.mp4,10,aerobic_gymnastics,24,True,v_4RKB-3ER_GA_c005.mp4,test,bent leg(s) jump,False
10_0002_v_4RKB-3ER_GA_c005.mp4,10,aerobic_gymnastics,24,True,v_4RKB-3ER_GA_c005.mp4,test,bent leg(s) jump,False
11_0001_v_4RKB-3ER_GA_c005.mp4,11,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c005.mp4,test,pike jump,False
11_0002_v_4RKB-3ER_GA_c005.mp4,11,aerobic_gymnastics,23,True,v_4RKB-3ER_GA_c005.mp4,test,pike jump,False
14_0001_v_4RKB-3ER_GA_c005.mp4,14,aerobic_gymnastics,47,True,v_4RKB-3ER_GA_c005.mp4,test,scissors leap,False
14_0002_v_4RKB-3ER_GA_c005.mp4,14,aerobic_gymnastics,50,True,v_4RKB-3ER_GA_c005.mp4,test,scissors leap,False
05_0001_v_4RKB-3ER_GA_c006.mp4,5,aerobic_gymnastics,91,False,v_4RKB-3ER_GA_c006.mp4,test,support,False
05_0002_v_4RKB-3ER_GA_c006.mp4,5,aerobic_gymnastics,91,True,v_4RKB-3ER_GA_c006.mp4,test,support,False
12_0001_v_4RKB-3ER_GA_c006.mp4,12,aerobic_gymnastics,30,True,v_4RKB-3ER_GA_c006.mp4,test,straddle jump,False
12_0002_v_4RKB-3ER_GA_c006.mp4,12,aerobic_gymnastics,30,True,v_4RKB-3ER_GA_c006.mp4,test,straddle jump,False
09_0001_v_4RKB-3ER_GA_c006.mp4,9,aerobic_gymnastics,41,True,v_4RKB-3ER_GA_c006.mp4,test,illusion,False
09_0002_v_4RKB-3ER_GA_c006.mp4,9,aerobic_gymnastics,41,True,v_4RKB-3ER_GA_c006.mp4,test,illusion,False
10_0001_v_4RKB-3ER_GA_c007.mp4,10,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c007.mp4,test,bent leg(s) jump,False
10_0002_v_4RKB-3ER_GA_c007.mp4,10,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c007.mp4,test,bent leg(s) jump,False
11_0001_v_4RKB-3ER_GA_c007.mp4,11,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c007.mp4,test,pike jump,False
11_0002_v_4RKB-3ER_GA_c007.mp4,11,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c007.mp4,test,pike jump,False
14_0001_v_4RKB-3ER_GA_c007.mp4,14,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c007.mp4,test,scissors leap,False
14_0002_v_4RKB-3ER_GA_c007.mp4,14,aerobic_gymnastics,34,True,v_4RKB-3ER_GA_c007.mp4,test,scissors leap,False
09_0001_v_4RKB-3ER_GA_c007.mp4,9,aerobic_gymnastics,53,True,v_4RKB-3ER_GA_c007.mp4,test,illusion,False
09_0002_v_4RKB-3ER_GA_c007.mp4,9,aerobic_gymnastics,52,True,v_4RKB-3ER_GA_c007.mp4,test,illusion,False
01_0001_v_4RKB-3ER_GA_c008.mp4,1,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c008.mp4,test,explosive push up,False
12_0001_v_4RKB-3ER_GA_c008.mp4,12,aerobic_gymnastics,37,True,v_4RKB-3ER_GA_c008.mp4,test,straddle jump,False
13_0001_v_4RKB-3ER_GA_c008.mp4,13,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c008.mp4,test,split jump,False
13_0002_v_4RKB-3ER_GA_c008.mp4,13,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c008.mp4,test,split jump,False
02_0001_v_4RKB-3ER_GA_c009.mp4,2,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c009.mp4,test,explosive support,False
02_0002_v_4RKB-3ER_GA_c009.mp4,2,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c009.mp4,test,explosive support,False
08_0001_v_4RKB-3ER_GA_c009.mp4,8,aerobic_gymnastics,24,True,v_4RKB-3ER_GA_c009.mp4,test,straight jump,False
08_0002_v_4RKB-3ER_GA_c009.mp4,8,aerobic_gymnastics,23,True,v_4RKB-3ER_GA_c009.mp4,test,straight jump,False
07_0001_v_4RKB-3ER_GA_c010.mp4,7,aerobic_gymnastics,85,True,v_4RKB-3ER_GA_c010.mp4,test,horizontal support,False
07_0002_v_4RKB-3ER_GA_c010.mp4,7,aerobic_gymnastics,85,True,v_4RKB-3ER_GA_c010.mp4,test,horizontal support,False
14_0001_v_4RKB-3ER_GA_c010.mp4,14,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c010.mp4,test,scissors leap,False
14_0002_v_4RKB-3ER_GA_c010.mp4,14,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c010.mp4,test,scissors leap,False
09_0001_v_4RKB-3ER_GA_c010.mp4,9,aerobic_gymnastics,76,True,v_4RKB-3ER_GA_c010.mp4,test,illusion,False
09_0002_v_4RKB-3ER_GA_c010.mp4,9,aerobic_gymnastics,82,True,v_4RKB-3ER_GA_c010.mp4,test,illusion,False
10_0001_v_4RKB-3ER_GA_c011.mp4,10,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c011.mp4,test,bent leg(s) jump,False
10_0002_v_4RKB-3ER_GA_c011.mp4,10,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c011.mp4,test,bent leg(s) jump,False
11_0001_v_4RKB-3ER_GA_c011.mp4,11,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c011.mp4,test,pike jump,False
11_0002_v_4RKB-3ER_GA_c011.mp4,11,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c011.mp4,test,pike jump,False
01_0001_v_4RKB-3ER_GA_c012.mp4,1,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c012.mp4,test,explosive push up,False
01_0002_v_4RKB-3ER_GA_c012.mp4,1,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c012.mp4,test,explosive push up,False
04_0001_v_4RKB-3ER_GA_c012.mp4,4,aerobic_gymnastics,50,True,v_4RKB-3ER_GA_c012.mp4,test,helicopter,False
04_0002_v_4RKB-3ER_GA_c012.mp4,4,aerobic_gymnastics,50,True,v_4RKB-3ER_GA_c012.mp4,test,helicopter,False
05_0001_v_4RKB-3ER_GA_c012.mp4,5,aerobic_gymnastics,92,True,v_4RKB-3ER_GA_c012.mp4,test,support,False
05_0002_v_4RKB-3ER_GA_c012.mp4,5,aerobic_gymnastics,92,True,v_4RKB-3ER_GA_c012.mp4,test,support,False
12_0001_v_4RKB-3ER_GA_c012.mp4,12,aerobic_gymnastics,31,True,v_4RKB-3ER_GA_c012.mp4,test,straddle jump,False
12_0002_v_4RKB-3ER_GA_c012.mp4,12,aerobic_gymnastics,31,True,v_4RKB-3ER_GA_c012.mp4,test,straddle jump,False
01_0001_v_4RKB-3ER_GA_c013.mp4,1,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c013.mp4,test,explosive push up,False
01_0002_v_4RKB-3ER_GA_c013.mp4,1,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c013.mp4,test,explosive push up,False
10_0001_v_4RKB-3ER_GA_c013.mp4,10,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c013.mp4,test,bent leg(s) jump,False
10_0002_v_4RKB-3ER_GA_c013.mp4,10,aerobic_gymnastics,27,True,v_4RKB-3ER_GA_c013.mp4,test,bent leg(s) jump,False
11_0001_v_4RKB-3ER_GA_c013.mp4,11,aerobic_gymnastics,30,True,v_4RKB-3ER_GA_c013.mp4,test,pike jump,False
11_0002_v_4RKB-3ER_GA_c013.mp4,11,aerobic_gymnastics,30,True,v_4RKB-3ER_GA_c013.mp4,test,pike jump,False
13_0001_v_4RKB-3ER_GA_c013.mp4,13,aerobic_gymnastics,29,True,v_4RKB-3ER_GA_c013.mp4,test,split jump,False
13_0002_v_4RKB-3ER_GA_c013.mp4,13,aerobic_gymnastics,30,True,v_4RKB-3ER_GA_c013.mp4,test,split jump,False
14_0001_v_4RKB-3ER_GA_c014.mp4,14,aerobic_gymnastics,29,True,v_4RKB-3ER_GA_c014.mp4,test,scissors leap,False
14_0002_v_4RKB-3ER_GA_c014.mp4,14,aerobic_gymnastics,29,True,v_4RKB-3ER_GA_c014.mp4,test,scissors leap,False
09_0001_v_4RKB-3ER_GA_c014.mp4,9,aerobic_gymnastics,45,True,v_4RKB-3ER_GA_c014.mp4,test,illusion,False
09_0002_v_4RKB-3ER_GA_c014.mp4,9,aerobic_gymnastics,40,True,v_4RKB-3ER_GA_c014.mp4,test,illusion,False
04_0001_v_4RKB-3ER_GA_c015.mp4,4,aerobic_gymnastics,43,True,v_4RKB-3ER_GA_c015.mp4,test,helicopter,False
04_0002_v_4RKB-3ER_GA_c015.mp4,4,aerobic_gymnastics,43,True,v_4RKB-3ER_GA_c015.mp4,test,helicopter,False
12_0001_v_4RKB-3ER_GA_c015.mp4,12,aerobic_gymnastics,29,True,v_4RKB-3ER_GA_c015.mp4,test,straddle jump,False
12_0002_v_4RKB-3ER_GA_c015.mp4,12,aerobic_gymnastics,29,True,v_4RKB-3ER_GA_c015.mp4,test,straddle jump,False
19_0001_v_4RKB-3ER_GA_c015.mp4,19,aerobic_gymnastics,50,True,v_4RKB-3ER_GA_c015.mp4,test,turn,False
19_0002_v_4RKB-3ER_GA_c015.mp4,19,aerobic_gymnastics,50,True,v_4RKB-3ER_GA_c015.mp4,test,turn,False
01_0001_v_4RKB-3ER_GA_c016.mp4,1,aerobic_gymnastics,33,True,v_4RKB-3ER_GA_c016.mp4,test,explosive push up,False
01_0002_v_4RKB-3ER_GA_c016.mp4,1,aerobic_gymnastics,33,True,v_4RKB-3ER_GA_c016.mp4,test,explosive push up,False
10_0001_v_4RKB-3ER_GA_c016.mp4,10,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c016.mp4,test,bent leg(s) jump,False
10_0002_v_4RKB-3ER_GA_c016.mp4,10,aerobic_gymnastics,32,True,v_4RKB-3ER_GA_c016.mp4,test,bent leg(s) jump,False
11_0001_v_4RKB-3ER_GA_c016.mp4,11,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c016.mp4,test,pike jump,False
11_0002_v_4RKB-3ER_GA_c016.mp4,11,aerobic_gymnastics,25,True,v_4RKB-3ER_GA_c016.mp4,test,pike jump,False
13_0001_v_4RKB-3ER_GA_c016.mp4,13,aerobic_gymnastics,26,True,v_4RKB-3ER_GA_c016.mp4,test,split jump,False
13_0002_v_4RKB-3ER_GA_c016.mp4,13,aerobic_gymnastics,26,True,v_4RKB-3ER_GA_c016.mp4,test,split jump,False
19_0001_v_4RKB-3ER_GA_c016.mp4,19,aerobic_gymnastics,54,True,v_4RKB-3ER_GA_c016.mp4,test,turn,False
19_0002_v_4RKB-3ER_GA_c016.mp4,19,aerobic_gymnastics,45,True,v_4RKB-3ER_GA_c016.mp4,test,turn,False
14_0001_v_4RKB-3ER_GA_c017.mp4,14,aerobic_gymnastics,33,True,v_4RKB-3ER_GA_c017.mp4,test,scissors leap,False
14_0002_v_4RKB-3ER_GA_c017.mp4,14,aerobic_gymnastics,33,True,v_4RKB-3ER_GA_c017.mp4,test,scissors leap,False
09_0001_v_4RKB-3ER_GA_c017.mp4,9,aerobic_gymnastics,73,True,v_4RKB-3ER_GA_c017.mp4,test,illusion,False
09_0002_v_4RKB-3ER_GA_c017.mp4,9,aerobic_gymnastics,73,True,v_4RKB-3ER_GA_c017.mp4,test,illusion,False
05_0001_v_4RKB-3ER_GA_c018.mp4,5,aerobic_gymnastics,94,True,v_4RKB-3ER_GA_c018.mp4,test,support,False
05_0002_v_4RKB-3ER_GA_c018.mp4,5,aerobic_gymnastics,94,True,v_4RKB-3ER_GA_c018.mp4,test,support,False
12_0001_v_4RKB-3ER_GA_c018.mp4,12,aerobic_gymnastics,34,True,v_4RKB-3ER_GA_c018.mp4,test,straddle jump,False
12_0002_v_4RKB-3ER_GA_c018.mp4,12,aerobic_gymnastics,34,True,v_4RKB-3ER_GA_c018.mp4,test,straddle jump,False
02_0001_v_4RKB-3ER_GA_c019.mp4,2,aerobic_gymnastics,22,True,v_4RKB-3ER_GA_c019.mp4,test,explosive support,False
02_0002_v_4RKB-3ER_GA_c019.mp4,2,aerobic_gymnastics,23,True,v_4RKB-3ER_GA_c019.mp4,test,explosive support,False
