model,frames,cls_head,finetuned,acc[mean],acc[std],acc@5[mean],acc@5[std],f1[mean],f1[std],dataset
uniformerv2,8,randomforest,False,0.5933723196881092,0.0011027006334293349,0.9025341130604287,0.0014587358233036887,0.1896795226423155,0.004899554187216576,basketball
uniformerv2,8,svm,False,0.6701754385964912,0.0,0.9543859649122807,0.0009549667613189959,0.3634068621770423,0.0,basketball
uniformerv2,8,mlp,False,0.6686159844054581,0.00606485348386121,0.9450292397660819,0.0009549667613189506,0.3753583703280669,0.00796263819405388,basketball
mvitv2,32,randomforest,False,0.44717348927875245,0.0024032803130483314,0.7941520467836257,0.003819867045275893,0.09970046299072755,0.003884327930173063,basketball
mvitv2,32,svm,False,0.5497076023391813,0.0,0.8721247563352826,0.0011027006334293349,0.216215762229538,0.0,basketball
mvitv2,32,mlp,False,0.5037037037037037,0.0005513503167146936,0.8311890838206627,0.001987921837658,0.14097587348048665,0.00032286359520524436,basketball
videomaev2,16,randomforest,False,0.6510721247563352,0.0005513503167146412,0.9329434697855751,0.0033537330475799662,0.29552242789964617,0.0018526529268559865,basketball
videomaev2,16,svm,False,0.7251461988304092,1.1102230246251565e-16,0.9672514619883041,0.0,0.43077436477285885,0.0,basketball
videomaev2,16,mlp,False,0.728654970760234,0.0041626036070297355,0.964522417153996,0.0005513503167146412,0.42926093496733486,0.0028795347749206606,basketball
uniformerv2,8,randomforest,False,0.695046439628483,0.005792039298411652,0.9293085655314757,0.0007297283603576426,0.35836380608575347,0.004092124886411429,volleyball
uniformerv2,8,svm,False,0.7755417956656346,0.0,0.9783281733746131,1.1102230246251565e-16,0.48437124595991543,0.0,volleyball
uniformerv2,8,mlp,False,0.7471620227038184,0.0019306797661371976,0.9695562435500515,0.0007297283603576426,0.4752636092871884,0.009732799167029791,volleyball
mvitv2,32,randomforest,False,0.4680082559339525,0.0019306797661372223,0.8957688338493291,0.005262146040859401,0.22763614042608726,0.002828817032309178,volleyball
mvitv2,32,svm,False,0.6037151702786377,0.0,0.9262125902992776,0.0007297283603576426,0.3182693592544334,0.0,volleyball
mvitv2,32,mlp,False,0.47523219814241485,0.0012639265958633676,0.892672858617131,0.0007297283603576426,0.2111774517297669,0.00029369396472573347,volleyball
videomaev2,16,randomforest,False,0.7301341589267286,0.005973084057167281,0.9447884416924665,0.005837826882861036,0.3791079139746809,0.0009056942034326921,volleyball
videomaev2,16,svm,False,0.8142414860681114,0.0,0.9829721362229101,0.0012639265958633676,0.5687174125176733,0.0,volleyball
videomaev2,16,mlp,False,0.8085655314757482,0.0007297283603576426,0.977296181630547,0.0007297283603576426,0.5790424545320039,0.0016061332078596675,volleyball
uniformerv2,8,randomforest,False,0.4120759414877062,0.005354699823867184,0.8437597261126673,0.007245842967209944,0.18399493909995765,0.009907321629604865,football
uniformerv2,8,svm,False,0.5014005602240896,0.0,0.9106753812636166,0.001760614456735873,0.37798443007416943,5.551115123125783e-17,football
uniformerv2,8,mlp,False,0.5001556178026766,0.00582268500898526,0.9044506691565516,0.0011645370017970519,0.39153796964213955,0.009002644183956894,football
mvitv2,32,svm,False,0.3473389355742296,5.551115123125783e-17,0.801431683784625,0.0019185851238621085,0.1372876678869321,0.0,football
mvitv2,32,mlp,False,0.3018985371926548,0.0022007680709198413,0.7699968876439466,0.00044015361418396826,0.11091422346588768,0.001854820732638216,football
videomaev2,16,randomforest,False,0.4637410519763461,0.00582268500898528,0.8820417055711173,0.0011645370017970519,0.27075651592502065,0.006738394735424996,football
videomaev2,16,svm,False,0.5284780578898226,0.0,0.940865234982882,0.0015869964250210915,0.43874667286050023,0.0,football
videomaev2,16,mlp,False,0.5390600684718332,0.0015869964250210913,0.9380641145347027,0.00044015361418396826,0.4512295976222725,0.002592748158005622,football
mvitv2,32,randomforest,False,0.2850918145035792,0.002886280266260713,0.7444755680049798,0.0019185851238621085,0.052999030535683854,0.003379502205932866,football
uniformerv2,8,randomforest,False,0.6294200848656294,0.0030555118804374663,0.9585101367279586,0.0024040638913685884,0.41997718314887783,0.008755054779638139,aerobic_gymnastics
uniformerv2,8,svm,False,0.7807637906647807,0.0,0.991041961338991,0.0006667673561400961,0.6404010040253748,0.0,aerobic_gymnastics
uniformerv2,8,mlp,False,0.768033946251768,0.007212191674105787,0.9886845827439887,0.0011548749376629733,0.631389261287074,0.004169453648017774,aerobic_gymnastics
mvitv2,32,randomforest,False,0.15087223008015085,0.005334138849120586,0.5539839698255541,0.008667975629820933,0.08243433054897677,0.004134372711542701,aerobic_gymnastics
mvitv2,32,svm,False,0.256011315417256,0.0,0.7171145685997171,0.0011548749376630188,0.1821733776911522,0.0,aerobic_gymnastics
mvitv2,32,mlp,False,0.2079207920792079,0.0,0.5671852899575672,0.0011548749376629733,0.09031639941941529,0.00022402483052294395,aerobic_gymnastics
videomaev2,16,randomforest,False,0.7062706270627063,0.005696862788116263,0.9764262140499763,0.0006667673561400961,0.5059552173683838,0.007703939626305315,aerobic_gymnastics
videomaev2,16,svm,False,0.8571428571428571,0.0,0.9948137670909949,0.0006667673561400437,0.7355995496793496,0.0,aerobic_gymnastics
videomaev2,16,mlp,False,0.8406412069778407,0.0006667673561400437,0.9966996699669967,0.0006667673561400961,0.7584218102906441,0.0004892754663846345,aerobic_gymnastics
videomaev2,32,randomforest,False,0.658869395711501,0.007167554117290563,0.9372319688109162,0.0029174716466073675,0.3135041931512019,0.00757394180788512,basketball
videomaev2,32,svm,False,0.7274853801169591,0.0,0.9692007797270955,0.0014587358233036393,0.4382932884716308,0.0,basketball
videomaev2,32,mlp,False,0.7282651072124757,0.0005513503167146412,0.968421052631579,0.0,0.4448782206551061,0.0004114908277974714,basketball
